TransactionID,Date,Month,Category,Amount,MerchantName,IsAnomaly
TXN00049,2024-01-04,January,Food,4.47,Trader Joe's,0
TXN00050,2024-01-04,January,Food,2.42,Chipotle,0
TXN00051,2024-01-04,January,Food,4.64,Chipotle,0
TXN00052,2024-01-04,January,Shopping,7.49,Nordstrom,0
TXN00053,2024-01-04,January,Shopping,6.15,Amazon,0
TXN00054,2024-01-04,January,Health,6.37,Gold's Gym,0
TXN00055,2024-01-04,January,Subscriptions,6.79,Canva Pro,0
TXN00056,2024-01-05,January,Food,4.65,Dunkin',0
TXN00057,2024-01-05,January,Food,4.46,McDonald's,0
TXN00058,2024-01-05,January,Food,4.66,Kroger,0
TXN00059,2024-01-05,January,Food,3.7,Local Bistro,0
TXN00060,2024-01-05,January,Food,4.96,Shake Shack,0
TXN00061,2024-01-05,January,Food,5.53,Trader Joe's,0
TXN00062,2024-01-05,January,Transport,3.13,Uber,0
TXN00063,2024-01-05,January,Transport,5.51,Sunoco,0
TXN00064,2024-01-05,January,Transport,4.07,Lyft,0
TXN00065,2024-01-05,January,Transport,4.06,Chevron,0
TXN00066,2024-01-05,January,Shopping,11.57,Nordstrom,0
TXN00067,2024-01-05,January,Shopping,8.23,HomeDepot,0
TXN00068,2024-01-05,January,Health,9.03,Gold's Gym,0
TXN00069,2024-01-05,January,Health,3.47,Gold's Gym,0
TXN00070,2024-01-05,January,Utilities,20.67,T-Mobile,0
TXN00071,2024-01-06,January,Food,2.88,Shake Shack,0
TXN00072,2024-01-06,January,Food,3.65,Panda Express,0
TXN00073,2024-01-06,January,Food,4.64,Trader Joe's,0
TXN00074,2024-01-06,January,Food,4.37,Five Guys,0
TXN00075,2024-01-06,January,Food,4.08,Five Guys,0
TXN00076,2024-01-06,January,Transport,3.12,Enterprise,0
TXN00077,2024-01-06,January,Transport,2.61,Shell Gas,0
TXN00078,2024-01-06,January,Entertainment,1.5,Dave & Buster's,0
TXN00079,2024-01-06,January,Shopping,6.17,PetSmart,0
TXN00080,2024-01-06,January,Health,10.06,Planet Fitness,0
TXN00081,2024-01-06,January,Health,8.02,Walgreens,0
TXN00082,2024-01-06,January,Utilities,16.5,Internet Pro,0
TXN00083,2024-01-07,January,Food,4.42,Jersey Mike's,0
TXN00084,2024-01-07,January,Food,3.69,Panera Bread,0
TXN00085,2024-01-07,January,Food,4.3,Jersey Mike's,0
TXN00086,2024-01-07,January,Food,4.56,Panda Express,0
TXN00087,2024-01-07,January,Food,3.77,Safeway,0
TXN00088,2024-01-07,January,Food,3.23,Safeway,0
TXN00089,2024-01-07,January,Food,4.1,Local Bistro,0
TXN00090,2024-01-07,January,Food,3.54,Starbucks,0
TXN00091,2024-01-07,January,Transport,4.92,Enterprise,0
TXN00092,2024-01-07,January,Transport,1.94,Enterprise,0
TXN00093,2024-01-07,January,Entertainment,3.85,Ticketmaster,0
TXN00094,2024-01-07,January,Entertainment,6.52,Steam,0
TXN00095,2024-01-07,January,Shopping,9.71,eBay,0
TXN00096,2024-01-07,January,Shopping,7.5,HomeDepot,0
TXN00097,2024-01-07,January,Health,12.76,Vision Works,0
TXN00098,2024-01-08,January,Food,5.17,Starbucks,0
TXN00099,2024-01-08,January,Food,3.79,Chipotle,0
TXN00100,2024-01-08,January,Food,4.84,Local Bistro,0
TXN00101,2024-01-08,January,Food,4.51,Olive Garden,0
TXN00102,2024-01-08,January,Food,4.54,McDonald's,0
TXN00103,2024-01-08,January,Food,4.38,Chipotle,0
TXN00104,2024-01-08,January,Food,4.81,Dunkin',0
TXN00105,2024-01-08,January,Food,3.71,Local Bistro,0
TXN00106,2024-01-08,January,Food,3.06,McDonald's,0
TXN00107,2024-01-08,January,Food,4.06,Whole Foods,0
TXN00108,2024-01-08,January,Transport,3.83,Enterprise,0
TXN00109,2024-01-08,January,Transport,2.83,EZPass Toll,0
TXN00110,2024-01-08,January,Transport,4.2,Chevron,0
TXN00111,2024-01-08,January,Transport,2.21,Metro Transit,0
TXN00112,2024-01-08,January,Transport,2.75,Valero,0
TXN00113,2024-01-08,January,Entertainment,1.5,HBO Max,0
TXN00114,2024-01-08,January,Entertainment,3.87,ESPN+,0
TXN00115,2024-01-08,January,Entertainment,1.5,AMC Theaters,0
TXN00116,2024-01-08,January,Shopping,7.83,PetSmart,0
TXN00117,2024-01-08,January,Shopping,7.13,Best Buy,0
TXN00118,2024-01-08,January,Shopping,9.28,Gap,0
TXN00119,2024-01-08,January,Health,7.11,Urgent Care,0
TXN00120,2024-01-08,January,Subscriptions,9.52,Grammarly,0
TXN00121,2024-01-09,January,Food,3.72,Five Guys,0
TXN00122,2024-01-09,January,Food,4.86,Five Guys,0
TXN00123,2024-01-09,January,Food,2.4,Panera Bread,0
TXN00124,2024-01-09,January,Food,3.91,Trader Joe's,0
TXN00125,2024-01-09,January,Food,4.76,Subway,0
TXN00126,2024-01-09,January,Food,3.32,Chipotle,0
TXN00127,2024-01-09,January,Transport,4.96,Hertz,0
TXN00128,2024-01-09,January,Transport,2.51,Chevron,0
TXN00129,2024-01-09,January,Transport,4.04,ParkNow,0
TXN00130,2024-01-09,January,Transport,2.79,EZPass Toll,0
TXN00131,2024-01-09,January,Transport,3.09,Hertz,0
TXN00132,2024-01-09,January,Entertainment,3.11,Disney+,0
TXN00133,2024-01-09,January,Shopping,6.5,Costco,0
TXN00134,2024-01-09,January,Shopping,3.65,Gap,0
TXN00135,2024-01-09,January,Shopping,5.25,Amazon,0
TXN00136,2024-01-09,January,Health,2.81,Urgent Care,0
TXN00137,2024-01-09,January,Health,9.56,Mayo Clinic Portal,0
TXN00138,2024-01-09,January,Subscriptions,6.61,LastPass,0
TXN00139,2024-01-10,January,Food,3.7,Shake Shack,0
TXN00140,2024-01-10,January,Food,3.49,McDonald's,0
TXN00141,2024-01-10,January,Food,3.49,Panera Bread,0
TXN00142,2024-01-10,January,Food,4.91,Tim Hortons,0
TXN00143,2024-01-10,January,Food,5.44,Kroger,0
TXN00144,2024-01-10,January,Transport,3.22,Lyft,0
TXN00145,2024-01-10,January,Transport,4.11,Hertz,0
TXN00146,2024-01-10,January,Entertainment,2.13,Live Nation,0
TXN00147,2024-01-10,January,Entertainment,1.52,Hulu,0
TXN00148,2024-01-10,January,Entertainment,3.19,AMC Theaters,0
TXN00149,2024-01-10,January,Entertainment,3.9,Steam,0
TXN00150,2024-01-10,January,Shopping,10.93,Nordstrom,0
TXN00151,2024-01-10,January,Shopping,8.59,Lowe's,0
TXN00152,2024-01-10,January,Shopping,5.52,Etsy,0
TXN00153,2024-01-10,January,Health,3.07,Dental Care Plus,0
TXN00154,2024-01-10,January,Health,2.99,Dr. Smith MD,0
TXN00155,2024-01-10,January,Utilities,24.17,Verizon,0
TXN00156,2024-01-11,January,Food,4.03,Local Bistro,0
TXN00157,2024-01-11,January,Food,3.66,Domino's,0
TXN00158,2024-01-11,January,Food,3.56,Whole Foods,0
TXN00159,2024-01-11,January,Transport,3.27,Hertz,0
TXN00160,2024-01-11,January,Transport,4.6,Zipcar,0
TXN00161,2024-01-11,January,Transport,3.39,Valero,0
TXN00162,2024-01-11,January,Transport,2.01,Lyft,0
TXN00163,2024-01-11,January,Transport,2.52,Hertz,0
TXN00164,2024-01-11,January,Entertainment,2.62,Hulu,0
TXN00165,2024-01-11,January,Entertainment,1.86,AMC Theaters,0
TXN00166,2024-01-11,January,Shopping,8.84,Costco,0
TXN00167,2024-01-11,January,Shopping,9.16,Gap,0
TXN00168,2024-01-11,January,Shopping,8.91,HomeDepot,0
TXN00169,2024-01-11,January,Shopping,8.58,Lowe's,0
TXN00170,2024-01-11,January,Utilities,20.43,Spectrum,0
TXN00171,2024-01-12,January,Food,4.48,Shake Shack,0
TXN00172,2024-01-12,January,Food,4.26,FreshMart,0
TXN00173,2024-01-12,January,Food,4.46,Jersey Mike's,0
TXN00174,2024-01-12,January,Food,5.63,FreshMart,0
TXN00175,2024-01-12,January,Food,3.41,Chili's,0
TXN00176,2024-01-12,January,Entertainment,6.86,Disney+,0
TXN00177,2024-01-12,January,Shopping,8.48,Gap,0
TXN00178,2024-01-12,January,Health,4.15,Vision Works,0
TXN00179,2024-01-12,January,Health,3.48,Anytime Fitness,0
TXN00180,2024-01-12,January,Subscriptions,7.45,Microsoft 365,0
TXN00181,2024-01-12,January,Utilities,438.76,City Electric Co,1
TXN00182,2024-01-13,January,Food,3.8,Panera Bread,0
TXN00183,2024-01-13,January,Food,4.78,Domino's,0
TXN00184,2024-01-13,January,Food,4.43,Trader Joe's,0
TXN00185,2024-01-13,January,Food,3.85,Safeway,0
TXN00186,2024-01-13,January,Food,4.65,Jersey Mike's,0
TXN00187,2024-01-13,January,Transport,3.1,Enterprise,0
TXN00188,2024-01-13,January,Transport,3.15,SpeedyPark,0
TXN00189,2024-01-13,January,Entertainment,3.55,Ticketmaster,0
TXN00190,2024-01-13,January,Shopping,9.14,Old Navy,0
TXN00191,2024-01-13,January,Shopping,7.3,H&M,0
TXN00192,2024-01-13,January,Health,8.21,Anytime Fitness,0
TXN00193,2024-01-13,January,Health,9.29,Dr. Smith MD,0
TXN00194,2024-01-13,January,Subscriptions,7.51,Canva Pro,0
TXN00195,2024-01-14,January,Food,3.71,Five Guys,0
TXN00196,2024-01-14,January,Food,2.94,Subway,0
TXN00197,2024-01-14,January,Food,3.53,Dunkin',0
TXN00198,2024-01-14,January,Transport,2.46,ParkNow,0
TXN00199,2024-01-14,January,Transport,3.12,Shell Gas,0
TXN00200,2024-01-14,January,Transport,3.21,EZPass Toll,0
TXN00201,2024-01-14,January,Transport,5.2,Circle K,0
TXN00202,2024-01-14,January,Transport,3.63,Chevron,0
TXN00203,2024-01-14,January,Transport,6.11,Uber,0
TXN00204,2024-01-14,January,Transport,4.53,Metro Transit,0
TXN00205,2024-01-14,January,Entertainment,5.35,Disney+,0
TXN00206,2024-01-14,January,Shopping,5.91,Zara,0
TXN00207,2024-01-14,January,Shopping,7.52,Walmart,0
TXN00208,2024-01-14,January,Shopping,6.7,Zara,0
TXN00209,2024-01-15,January,Food,2.99,Domino's,0
TXN00210,2024-01-15,January,Food,4.97,Jersey Mike's,0
TXN00211,2024-01-15,January,Food,2.87,Safeway,0
TXN00212,2024-01-15,January,Transport,2.71,Zipcar,0
TXN00213,2024-01-15,January,Transport,4.23,ParkNow,0
TXN00214,2024-01-15,January,Entertainment,4.67,Regal Cinemas,0
TXN00215,2024-01-15,January,Entertainment,6.13,Hulu,0
TXN00216,2024-01-15,January,Shopping,5.25,Gap,0
TXN00217,2024-01-15,January,Shopping,6.04,Zara,0
TXN00218,2024-01-15,January,Shopping,8.59,Best Buy,0
TXN00219,2024-01-15,January,Shopping,8.59,Lowe's,0
TXN00220,2024-01-15,January,Shopping,5.36,Lowe's,0
TXN00221,2024-01-15,January,Health,11.25,Mayo Clinic Portal,0
TXN00222,2024-01-15,January,Health,1.66,Dental Care Plus,0
TXN00223,2024-01-15,January,Health,2.55,Dr. Smith MD,0
TXN00224,2024-01-15,January,Subscriptions,7.72,Dropbox,0
TXN00225,2024-01-15,January,Utilities,486.21,City Electric Co,1
TXN00226,2024-01-16,January,Food,3.44,Olive Garden,0
TXN00227,2024-01-16,January,Transport,5.12,Chevron,0
TXN00228,2024-01-16,January,Transport,2.94,Shell Gas,0
TXN00229,2024-01-16,January,Transport,5.07,Shell Gas,0
TXN00230,2024-01-16,January,Entertainment,1.5,Bowling Alley,0
TXN00231,2024-01-16,January,Entertainment,1.76,Dave & Buster's,0
TXN00232,2024-01-16,January,Entertainment,2.06,Bowling Alley,0
TXN00233,2024-01-16,January,Shopping,9.9,HomeDepot,0
TXN00234,2024-01-16,January,Shopping,10.57,Etsy,0
TXN00235,2024-01-16,January,Shopping,7.2,Macy's,0
TXN00236,2024-01-16,January,Shopping,4.41,TJ Maxx,0
TXN00237,2024-01-16,January,Shopping,7.31,Target,0
TXN00238,2024-01-16,January,Shopping,1880.34,Amazon,1
TXN00239,2024-01-17,January,Food,4.14,Chili's,0
TXN00240,2024-01-17,January,Food,4.56,Local Bistro,0
TXN00241,2024-01-17,January,Food,3.37,Olive Garden,0
TXN00242,2024-01-17,January,Transport,4.01,EZPass Toll,0
TXN00243,2024-01-17,January,Transport,4.15,Chevron,0
TXN00244,2024-01-17,January,Entertainment,3.42,Steam,0
TXN00245,2024-01-17,January,Entertainment,3.5,Ticketmaster,0
TXN00246,2024-01-17,January,Entertainment,4.61,Regal Cinemas,0
TXN00247,2024-01-17,January,Shopping,6.7,TJ Maxx,0
TXN00248,2024-01-17,January,Shopping,8.24,eBay,0
TXN00249,2024-01-17,January,Health,2.89,Vision Works,0
TXN00250,2024-01-17,January,Utilities,19.7,T-Mobile,0
TXN00251,2024-01-18,January,Food,4.13,Starbucks,0
TXN00252,2024-01-18,January,Food,5.9,McDonald's,0
TXN00253,2024-01-18,January,Food,3.17,Shake Shack,0
TXN00254,2024-01-18,January,Food,4.81,Whole Foods,0
TXN00255,2024-01-18,January,Food,3.3,Trader Joe's,0
TXN00256,2024-01-18,January,Transport,4.22,Sunoco,0
TXN00257,2024-01-18,January,Transport,4.99,Chevron,0
TXN00258,2024-01-18,January,Transport,5.58,BP Fuel,0
TXN00259,2024-01-18,January,Transport,3.68,Chevron,0
TXN00260,2024-01-18,January,Transport,3.27,Hertz,0
TXN00261,2024-01-18,January,Transport,4.91,Shell Gas,0
TXN00262,2024-01-18,January,Entertainment,3.13,Netflix,0
TXN00263,2024-01-18,January,Entertainment,1.5,Ticketmaster,0
TXN00264,2024-01-18,January,Shopping,10.05,H&M,0
TXN00265,2024-01-18,January,Subscriptions,5.61,Microsoft 365,0
TXN00266,2024-01-19,January,Food,4.99,Starbucks,0
TXN00267,2024-01-19,January,Food,3.93,Olive Garden,0
TXN00268,2024-01-19,January,Food,3.47,Jersey Mike's,0
TXN00269,2024-01-19,January,Food,3.53,Olive Garden,0
TXN00270,2024-01-19,January,Food,2.53,Chili's,0
TXN00271,2024-01-19,January,Food,4.68,Jersey Mike's,0
TXN00272,2024-01-19,January,Transport,3.31,SpeedyPark,0
TXN00273,2024-01-19,January,Transport,3.21,EZPass Toll,0
TXN00274,2024-01-19,January,Transport,4.48,Sunoco,0
TXN00275,2024-01-19,January,Transport,3.97,Lyft,0
TXN00276,2024-01-19,January,Entertainment,4.25,Ticketmaster,0
TXN00277,2024-01-19,January,Entertainment,1.5,HBO Max,0
TXN00278,2024-01-19,January,Shopping,10.92,Amazon,0
TXN00279,2024-01-19,January,Shopping,7.83,Target,0
TXN00280,2024-01-19,January,Shopping,5.77,Zara,0
TXN00281,2024-01-19,January,Shopping,7.93,Nordstrom,0
TXN00282,2024-01-19,January,Health,8.97,Mayo Clinic Portal,0
TXN00283,2024-01-19,January,Health,8.78,Dr. Smith MD,0
TXN00284,2024-01-20,January,Food,3.54,Trader Joe's,0
TXN00285,2024-01-20,January,Food,3.92,Chipotle,0
TXN00286,2024-01-20,January,Food,4.43,Dunkin',0
TXN00287,2024-01-20,January,Food,3.3,Chili's,0
TXN00288,2024-01-20,January,Food,3.9,Domino's,0
TXN00289,2024-01-20,January,Transport,2.54,Enterprise,0
TXN00290,2024-01-20,January,Transport,2.53,Zipcar,0
TXN00291,2024-01-20,January,Entertainment,5.51,Live Nation,0
TXN00292,2024-01-20,January,Shopping,8.53,eBay,0
TXN00293,2024-01-20,January,Shopping,5.85,Zara,0
TXN00294,2024-01-20,January,Health,10.4,Mayo Clinic Portal,0
TXN00295,2024-01-20,January,Shopping,1859.48,Amazon,1
TXN00296,2024-01-21,January,Food,4.32,Jersey Mike's,0
TXN00297,2024-01-21,January,Food,2.14,Local Bistro,0
TXN00298,2024-01-21,January,Transport,3.98,Metro Transit,0
TXN00299,2024-01-21,January,Transport,4.19,Lyft,0
TXN00300,2024-01-21,January,Entertainment,4.87,Disney+,0
TXN00301,2024-01-21,January,Shopping,6.35,Old Navy,0
TXN00302,2024-01-21,January,Shopping,7.86,Old Navy,0
TXN00303,2024-01-21,January,Shopping,7.87,Macy's,0
TXN00304,2024-01-21,January,Shopping,8.96,H&M,0
TXN00305,2024-01-21,January,Health,7.91,Vision Works,0
TXN00306,2024-01-21,January,Utilities,25.61,Natural Gas LLC,0
TXN00307,2024-01-22,January,Housing,515.32,Oakwood Leasing,0
TXN00308,2024-01-22,January,Food,3.13,Olive Garden,0
TXN00309,2024-01-22,January,Food,4.78,Panera Bread,0
TXN00310,2024-01-22,January,Food,4.94,Olive Garden,0
TXN00311,2024-01-22,January,Food,4.93,FreshMart,0
TXN00312,2024-01-22,January,Food,4.54,Panera Bread,0
TXN00313,2024-01-22,January,Food,2.92,McDonald's,0
TXN00314,2024-01-22,January,Transport,3.36,Hertz,0
TXN00315,2024-01-22,January,Transport,3.91,Shell Gas,0
TXN00316,2024-01-22,January,Transport,2.7,BP Fuel,0
TXN00317,2024-01-22,January,Shopping,10.5,Best Buy,0
TXN00318,2024-01-22,January,Shopping,8.47,Lowe's,0
TXN00319,2024-01-22,January,Health,12.13,Rite Aid,0
TXN00320,2024-01-22,January,Utilities,18.66,Water Dept,0
TXN00321,2024-01-22,January,Subscriptions,4.91,Canva Pro,0
TXN00322,2024-01-22,January,Health,783.45,Dr. Smith MD,1
TXN00323,2024-01-23,January,Food,3.59,Trader Joe's,0
TXN00324,2024-01-23,January,Food,2.98,Jersey Mike's,0
TXN00325,2024-01-23,January,Food,3.14,FreshMart,0
TXN00326,2024-01-23,January,Transport,2.85,Uber,0
TXN00327,2024-01-23,January,Transport,5.05,Lyft,0
TXN00328,2024-01-23,January,Entertainment,5.15,Hulu,0
TXN00329,2024-01-23,January,Entertainment,5.25,Dave & Buster's,0
TXN00330,2024-01-23,January,Entertainment,2.07,Steam,0
TXN00331,2024-01-23,January,Entertainment,3.18,Spotify,0
TXN00332,2024-01-23,January,Shopping,6.23,Zara,0
TXN00333,2024-01-23,January,Shopping,2.94,Nike Store,0
TXN00334,2024-01-23,January,Shopping,5.39,Macy's,0
TXN00335,2024-01-23,January,Shopping,10.59,Nordstrom,0
TXN00336,2024-01-23,January,Health,2.93,Dr. Smith MD,0
TXN00337,2024-01-24,January,Food,5.17,Safeway,0
TXN00338,2024-01-24,January,Food,3.87,Jersey Mike's,0
TXN00339,2024-01-24,January,Food,2.71,Safeway,0
TXN00340,2024-01-24,January,Transport,4.87,Zipcar,0
TXN00341,2024-01-24,January,Transport,4.7,Enterprise,0
TXN00342,2024-01-24,January,Transport,3.14,SpeedyPark,0
TXN00343,2024-01-24,January,Transport,2.67,Circle K,0
TXN00344,2024-01-24,January,Entertainment,2.72,ESPN+,0
TXN00345,2024-01-24,January,Entertainment,3.09,Steam,0
TXN00346,2024-01-24,January,Entertainment,3.12,Bowling Alley,0
TXN00347,2024-01-24,January,Entertainment,1.72,Dave & Buster's,0
TXN00348,2024-01-24,January,Shopping,8.36,Costco,0
TXN00349,2024-01-24,January,Shopping,5.92,H&M,0
TXN00350,2024-01-24,January,Shopping,5.08,Zara,0
TXN00351,2024-01-24,January,Utilities,19.95,Water Dept,0
TXN00352,2024-01-24,January,Health,759.97,Dr. Smith MD,1
TXN00353,2024-01-25,January,Transport,2.78,Hertz,0
TXN00354,2024-01-25,January,Entertainment,5.83,Steam,0
TXN00355,2024-01-25,January,Shopping,7.76,eBay,0
TXN00356,2024-01-25,January,Shopping,7.13,Nike Store,0
TXN00357,2024-01-25,January,Shopping,4.17,Target,0
TXN00358,2024-01-25,January,Shopping,7.46,Lowe's,0
TXN00359,2024-01-26,January,Food,4.05,Shake Shack,0
TXN00360,2024-01-26,January,Food,5.16,Panera Bread,0
TXN00361,2024-01-26,January,Food,3.75,Subway,0
TXN00362,2024-01-26,January,Food,4.89,Shake Shack,0
TXN00363,2024-01-26,January,Food,3.9,Starbucks,0
TXN00364,2024-01-26,January,Food,4.77,Panera Bread,0
TXN00365,2024-01-26,January,Entertainment,3.79,Hulu,0
TXN00366,2024-01-26,January,Entertainment,6.98,Netflix,0
TXN00367,2024-01-26,January,Health,11.94,CVS Pharmacy,0
TXN00368,2024-01-26,January,Health,3.85,Planet Fitness,0
TXN00369,2024-01-26,January,Subscriptions,6.07,LinkedIn Premium,0
TXN00370,2024-01-27,January,Food,1.96,Whole Foods,0
TXN00371,2024-01-27,January,Food,3.61,Jersey Mike's,0
TXN00372,2024-01-27,January,Food,5.17,Local Bistro,0
TXN00373,2024-01-27,January,Food,4.24,Kroger,0
TXN00374,2024-01-27,January,Food,3.85,Five Guys,0
TXN00375,2024-01-27,January,Food,3.65,Starbucks,0
TXN00376,2024-01-27,January,Transport,2.88,Zipcar,0
TXN00377,2024-01-27,January,Transport,4.79,BP Fuel,0
TXN00378,2024-01-27,January,Entertainment,6.75,Steam,0
TXN00379,2024-01-27,January,Shopping,9.57,Lowe's,0
TXN00380,2024-01-27,January,Shopping,8.16,Amazon,0
TXN00381,2024-01-27,January,Shopping,3.91,PetSmart,0
TXN00382,2024-01-27,January,Shopping,1882.81,Amazon,1
TXN00383,2024-01-28,January,Food,3.47,Safeway,0
TXN00384,2024-01-28,January,Food,4.49,Trader Joe's,0
TXN00385,2024-01-28,January,Food,4.55,Subway,0
TXN00386,2024-01-28,January,Food,3.88,Olive Garden,0
TXN00387,2024-01-28,January,Transport,4.45,Chevron,0
TXN00388,2024-01-28,January,Entertainment,5.35,Ticketmaster,0
TXN00389,2024-01-28,January,Shopping,7.3,Nike Store,0
TXN00390,2024-01-28,January,Shopping,9.29,HomeDepot,0
TXN00391,2024-01-28,January,Shopping,6.31,Walmart,0
TXN00392,2024-01-28,January,Shopping,9.43,H&M,0
TXN00393,2024-01-28,January,Shopping,8.18,IKEA,0
TXN00394,2024-01-28,January,Health,10.51,Vision Works,0
TXN00395,2024-01-28,January,Health,7.57,Urgent Care,0
TXN00396,2024-01-29,January,Housing,489.47,City Home LLC,0
TXN00397,2024-01-29,January,Food,3.31,Trader Joe's,0
TXN00398,2024-01-29,January,Food,4.23,Trader Joe's,0
TXN00399,2024-01-29,January,Food,4.07,Chipotle,0
TXN00400,2024-01-29,January,Food,2.6,Starbucks,0
TXN00401,2024-01-29,January,Food,3.46,Panera Bread,0
TXN00402,2024-01-29,January,Food,3.27,Trader Joe's,0
TXN00403,2024-01-29,January,Food,3.34,Kroger,0
TXN00404,2024-01-29,January,Food,5.31,Shake Shack,0
TXN00405,2024-01-29,January,Food,3.9,Shake Shack,0
TXN00406,2024-01-29,January,Transport,1.58,Chevron,0
TXN00407,2024-01-29,January,Transport,1.52,Uber,0
TXN00408,2024-01-29,January,Transport,3.55,Hertz,0
TXN00409,2024-01-29,January,Transport,3.73,Hertz,0
TXN00410,2024-01-29,January,Transport,4.11,Enterprise,0
TXN00411,2024-01-29,January,Transport,3.11,EZPass Toll,0
TXN00412,2024-01-29,January,Entertainment,2.68,Dave & Buster's,0
TXN00413,2024-01-29,January,Entertainment,5.85,Regal Cinemas,0
TXN00414,2024-01-29,January,Health,5.65,Dr. Smith MD,0
TXN00415,2024-01-29,January,Utilities,15.55,City Electric Co,0
TXN00416,2024-01-29,January,Utilities,22.55,AT&T,0
TXN00417,2024-01-29,January,Subscriptions,6.37,Notion,0
TXN00418,2024-01-30,January,Food,3.73,Chipotle,0
TXN00419,2024-01-30,January,Food,4.05,Starbucks,0
TXN00420,2024-01-30,January,Transport,3.81,EZPass Toll,0
TXN00421,2024-01-30,January,Shopping,10.17,eBay,0
TXN00422,2024-01-30,January,Shopping,8.08,Etsy,0
TXN00423,2024-01-30,January,Shopping,9.8,Costco,0
TXN00424,2024-01-30,January,Health,6.08,Anytime Fitness,0
TXN00425,2024-01-30,January,Shopping,1933.78,Amazon,1
TXN00426,2024-01-31,January,Food,3.91,Trader Joe's,0
TXN00427,2024-01-31,January,Food,4.05,Chili's,0
TXN00428,2024-01-31,January,Food,4.17,Dunkin',0
TXN00429,2024-01-31,January,Food,4.13,Domino's,0
TXN00430,2024-01-31,January,Food,4.48,Domino's,0
TXN00431,2024-01-31,January,Food,3.69,Local Bistro,0
TXN00432,2024-01-31,January,Transport,3.37,ParkNow,0
TXN00433,2024-01-31,January,Transport,4.32,Enterprise,0
TXN00434,2024-01-31,January,Transport,5.26,Valero,0
TXN00435,2024-01-31,January,Entertainment,1.5,HBO Max,0
TXN00436,2024-01-31,January,Subscriptions,4.71,Notion,0
TXN00437,2024-01-31,January,Subscriptions,7.67,Dropbox,0
TXN00438,2024-01-31,January,Utilities,427.36,City Electric Co,1
TXN00439,2024-02-01,February,Food,4.75,Tim Hortons,0
TXN00440,2024-02-01,February,Food,3.93,Subway,0
TXN00441,2024-02-01,February,Food,4.05,Subway,0
TXN00442,2024-02-01,February,Transport,4.61,EZPass Toll,0
TXN00443,2024-02-01,February,Transport,3.17,Zipcar,0
